ijs 0.35-3.1
imagemagick 7.1.0.28-1
imath 3.1.4-1
imlib2 1.8.1-1
iniparser 4.1-4
inkscape 1.1.2-2
intel-mkl 2020.4.304-1
iproute2 5.16.0-1
iptables 1:1.8.7-1
iputils 20211215-1
ipython 8.1.1-1
irrlicht 1.8.5-1
iso-codes 4.9.0-1
isync 1.4.4-1
jack2 1.9.20-4
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3.1
java-runtime-common 3-3.1
jbig2dec 0.19-1
jdk11-openjdk 11.0.15.u3-1
jemalloc 1:5.2.1-6
jq 1.6-4
jre11-openjdk 11.0.15.u3-1
jre11-openjdk-headless 11.0.15.u3-1
js78 78.15.0-3
json-c 0.15-3
json-glib 1.6.6-1
jsoncpp 1.9.5-1
kaccounts-integration 21.12.3-1
kactivities 5.92.0-1
karchive 5.92.0-1
kauth 5.92.0-1
kbd 2.4.0-2
kbookmarks 5.92.0-1
kcmutils 5.92.0-1
kcodecs 5.92.0-1
kcompletion 5.92.0-1
kconfig 5.92.0-1
kconfigwidgets 5.92.0-1
kcoreaddons 5.92.0-1
kcrash 5.92.0-1
kdbusaddons 5.92.0-1
kdeclarative 5.92.0-1
kded 5.92.0-1
kexec-tools 2.0.23-1
keyutils 1.6.3-1
kglobalaccel 5.92.0-1
kguiaddons 5.92.0-1
ki18n 5.92.0-1
kiconthemes 5.92.0-1
kio 5.92.0-1
kirigami2 5.92.0-1
kitemviews 5.92.0-1
kjobwidgets 5.92.0-1
kjs 5.92.0-1
kmod 29-2
knotifications 5.92.0-1
kpackage 5.92.0-1
kparts 5.92.0-1
kpty 5.92.0-1
krb5 1.19.2-2
kservice 5.92.0-1
ktextwidgets 5.92.0-1
kwallet 5.92.0-1
kwayland 5.92.0-1
kwidgetsaddons 5.92.0-1
kwindowsystem 5.92.0-1
kxmlgui 5.92.0-1
kyotocabinet 1.2.79-1
l-smash 2.14.5-2.1
lame 3.100-3.1
lapack 3.10.0-1
latex-mk 2.1-4
lcms2 2.13.1-1
ldb 2:2.4.2-1
ldns 1.8.1-1
lensfun 1:0.3.3-1
less 1:590-1
lf 26-1
lib2geom 1.1-2
libaacs 0.11.1-2
libabw 0.1.3-2
libaccounts-glib 1.25-7
libaccounts-qt 1.16-3
libaec 1.0.6-1
libaio 0.3.112-2.1
libao 1.2.2-5
libarchive 3.6.0-1
libass 0.15.2-2
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3.1
libatasmart 0.19-5.1
libatomic_ops 7.6.12-1
libavc1394 0.5.4-4.1
libavif 0.9.3-1
libb2 0.98.1-2
libb64 1.2.1-4
libblockdev 2.26-3
libbluray 1.3.0-2
libbsd 0.11.5-1
libbytesize 2.6-3
libcaca 0.99.beta20-1
libcanberra 0.30+2+gc0620e4-5
libcap 2.63-2
libcap-ng 0.8.2-7
libcddb 1.3.2-6.1
libcdio 2.1.0-2.1
libcdio-paranoia 10.2+2.0.1-2.1
libcdr 0.1.7-3
libcloudproviders 0.3.1-2
libcmis 0.5.2-9
libcolord 1.4.6-1
libconfig 1.7.3-1
libcroco 0.6.13-2.1
libcups 1:2.4.1-1
libdaemon 0.14-5.1
libdatrie 0.2.13-1
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libde265 1.0.8-2
libdispatch 5.5.0-1
libdrm 2.4.110-1
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libe-book 0.1.3-10
libedit 20210910_3.1-1
libelf 0.186-5
libelogind 246.10-5
libepoxy 1.5.9-1
libepubgen 0.1.1-2
libertinus-font 7.040-2
libetonyek 0.1.10-1
libev 4.33-1.1
libevdev 1.12.0-1
libevent 2.1.12-1
libexif 0.6.24-1
libexttextcat 3.4.6-1
libfdk-aac 2.0.2-1
libffi 3.4.2-4
libfm 1.3.2-1
libfm-extra 1.3.2-1
libfm-gtk2 1.3.2-1
libfontenc 1.1.4-3
libfreeaptx 0.1.1-1
libfreehand 0.1.2-3
libgcrypt 1.9.4-1
libgdiplus 5.6.1-3.1
libgee 0.20.5-1
libgexiv2 0.14.0-3
libgit2 1:1.4.2-1
libglvnd 1.4.0-1
libgme 0.6.3-1.1
libgpg-error 1.44-1
libgudev 237-1
libgusb 0.3.10-2
libharu 2.3.0-5
libheif 1.12.0-3
libibus 1.5.25-5
libical 3.0.14-1
libice 1.0.10-3.1
libid3tag 0.15.1b-11.1
libidn 1.38-1
libidn2 2.3.2-1
libiec61883 1.2.0-6.1
libimagequant 2.17.0-3
libimobiledevice 1.3.0-5
libinih 53-2
libinput 1.20.0-1
libinstpatch 1.1.6-1
libisl 0.24-4
libixion 0.17.0-1
libjpeg-turbo 2.1.3-1
libkexiv2 21.12.3-1
libksba 1.6.0-1
liblangtag 0.6.3-2
libldac 2.0.2.3-1
libldap 2.6.1-1
liblouis 3.21.0-1
liblqr 0.4.2-3.1
libluv 1.43.0_0-1
liblzf 3.6-3
libmad 0.15.1b-9.1
libmanette 0.2.6-2
libmd 1.0.4-1
libmediainfo 21.09-1
libmfx 22.1.0-1
libmicrohttpd 0.9.75-1
libmikmod 3.3.11.1-4.1
libmm-glib 1.18.6-1
libmms 0.6.4-3.1
libmng 2.0.3-3.1
libmnl 1.0.4-3.1
libmodplug 0.8.9.0-3.1
libmpc 1.2.1-2
libmpcdec 1:0.1+r475-3.1
libmpdclient 2.20-2
libmspub 0.1.4-11
libmtp 1.1.19-1
libmwaw 0.3.21-2
libmypaint 1.6.1-1
libnatpmp 20150609-3
libndp 1.8-1
libnet 1:1.1.6-1.1
libnetfilter_conntrack 1.0.8-1.1
libnewt 0.52.21-8
libnfnetlink 1.0.1-4
libnfs 5.0.1-2
libnftnl 1.2.1-1
libnghttp2 1.47.0-1
libnl 3.5.0-3
libnm 1.36.2-1
libnotify 0.7.9-2
libnsl 2.0.0-2
libnumbertext 1.0.8-1
libodfgen 0.1.8-1
libogg 1.3.5-1
libomxil-bellagio 0.9.3-3.1
libopenaptx 0.2.0-1
libopenmpt 0.6.2-1
liborcus 0.17.2-1
libp11-kit 0.24.1-1
libpagemaker 0.0.4-2.1
libpaper 1.1.28-1.1
libpcap 1.10.1-2
libpciaccess 0.16-2.1
libpgm 5.3.128-1
libpipeline 1.5.5-1
libplacebo 4.192.1-2
libplist 2.2.0-5
libpng 1.6.37-3
libproxy 0.4.17-6
libpsl 0.21.1-1
libpulse 15.0-4
libqxp 0.0.2-7
libraqm 0.9.0-1
libraw 0.20.2-1
libraw1394 2.1.2-3.1
libreoffice-fresh 7.3.1-1
librevenge 0.0.4-3.1
librsvg 2:2.54.0-1
libsamplerate 0.2.2-1
libsasl 2.1.27-3.1
libseccomp 2.5.3-3
libsecret 0.20.5-1
libshout 1:2.4.5-1
libsidplayfp 2.3.1-1
libsigc++ 2.10.8-1
libsigsegv 2.14-1
libsm 1.2.3-2.1
libsndfile 1.0.31-1
libsodium 1.0.18-2
libsoup 2.74.2-2
libsoup3 3.0.4-2
libsoxr 0.1.3-2.1
libspectre 0.2.10-1
libspiro 1:20200505-2
libspnav 0.3-1
libssh 0.9.6-1
libssh2 1.10.0-1
libstaroffice 0.0.7-1
libstemmer 2.2.0-1
libsynctex 2021.59745-1
libsysprof-capture 3.42.1-3
libtasn1 4.18.0-1
libteam 1.31-5
libtermkey 0.22-2
libtg_owt 0.git12.a264028-1
libthai 0.1.29-1
libtheora 1.1.1-5.1
libtiff 4.3.0-1
libtirpc 1.3.2-1
libtommath 1.2.0-3.1
libtool 2.4.6+59+gb55b1cc8-2
libudev 250.4-1
libunistring 0.9.10-3
libunwind 1.6.2-1
libupnp 1.14.12-3
liburcu 0.13.1-1
liburing 2.1-1
libusb 1.0.25-3
libusbmuxd 2.0.2-1
libutempter 1.2.1-1
libuv 1.43.0-1
libva 2.13.0-2
libvdpau 1.5-1
libvisio 0.1.7-6
libvisual 0.4.0-8.1
libvorbis 1.3.7-3
libvpx 1.11.0-2
libvterm 0.2-1
libwacom 2.1.0-1
libwebp 1.2.2-1
libwmf 0.2.12-2.1
libwpd 0.10.3-3
libwpe 1.12.0-1
libwpg 0.3.3-2
libwps 0.4.12-1
libx11 1.7.3.1-1
libxau 1.0.9-3.1
libxaw 1.0.14-1
libxcb 1.14-1.1
libxcomposite 0.4.5-3.1
libxcrypt 4.4.28-2
libxcursor 1.2.0-2.1
libxcvt 0.1.1-1
libxdamage 1.1.5-3.1
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3.1
libxext 1.3.4-3.1
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft-bgra 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3.1
libxkbcommon 1.4.0-1
libxkbcommon-x11 1.4.0-1
libxkbfile 1.1.0-2.1
libxml2 2.9.13-1
libxmu 1.1.3-2.1
libxpm 3.5.13-2.1
libxrandr 1.5.2-3.1
libxrender 0.9.10-4.1
libxshmfence 1.3-2.1
